energy,danceability,valence,liveness,instrumentalness,acousticness,speechiness,On_chart,Cluster
0.135,0.512,0.828,0.141,0.00705,0.955,0.0453,0,2
0.334,0.5660000000000001,0.152,0.125,0.97,0.812,0.0285,0,4
0.318,0.647,0.532,0.101,0.0,0.823,0.038,0,2
0.71,0.826,0.631,0.0991,0.00647,0.00149,0.0848,0,5
0.522,0.43,0.966,0.8540000000000001,0.029,0.0753,0.0318,0,3
0.7929999999999999,0.521,0.996,0.122,0.821,0.0791,0.0355,0,1
0.563,0.53,0.97,0.0581,0.7659999999999999,0.0501,0.0366,0,1
0.0959,0.365,0.146,0.123,0.00294,0.971,0.0643,0,2
0.0658,0.221,0.15,0.449,0.00385,0.973,0.077,0,2
0.023,0.177,0.0671,0.146,0.727,0.982,0.0408,0,4
0.15,0.465,0.186,0.264,1.57e-06,0.961,0.34,0,2
0.216,0.429,0.275,0.28,0.0187,0.969,0.0776,0,2
0.234,0.506,0.412,0.284,0.946,0.968,0.0346,0,4
0.0829,0.335,0.418,0.192,0.735,0.981,0.0333,0,4
0.0982,0.369,0.276,0.139,0.208,0.988,0.0508,0,2
0.152,0.431,0.429,0.076,0.104,0.97,0.0429,0,2
0.0683,0.301,0.203,0.292,0.0125,0.975,0.0395,0,2
0.0423,0.306,0.0881,0.101,0.159,0.987,0.0392,0,2
0.216,0.454,0.453,0.144,0.188,0.977,0.0429,0,2
0.0826,0.35,0.489,0.119,0.000212,0.972,0.0458,0,2
0.163,0.458,0.755,0.129,0.00582,0.975,0.0509,0,2
0.0701,0.263,0.293,0.134,0.00161,0.985,0.052,0,2
0.101,0.457,0.61,0.0988,0.0403,0.985,0.0466,0,2
0.341,0.8079999999999999,0.7390000000000001,0.111,0.00469,0.0459,0.396,0,5
0.573,0.597,0.746,0.108,0.0,0.205,0.386,0,5
0.8490000000000001,0.328,0.253,0.116,2.8e-06,0.000654,0.0539,0,7
0.965,0.4970000000000001,0.379,0.1689999999999999,0.114,1.42e-06,0.0458,0,7
0.945,0.5479999999999999,0.446,0.298,0.00624,2.59e-05,0.0501,0,7
0.958,0.322,0.282,0.14,0.00122,2.12e-05,0.0831,0,7
0.165,0.353,0.166,0.148,0.00224,0.979,0.0407,0,2
0.871,0.812,0.688,0.0515,0.96,2.23e-05,0.0618,0,1
0.594,0.8079999999999999,0.845,0.124,0.907,0.00096,0.0546,0,1
0.515,0.434,0.0662,0.086,0.818,0.809,0.039,0,4
0.5870000000000001,0.385,0.25,0.527,3.32e-06,0.106,0.133,0,3
0.7120000000000001,0.6459999999999999,0.758,0.0483,0.0,0.0768,0.402,0,5
